,,V No,Date,Party,City,Total Amt,Remarks
,,643,16/02/2021,FREELANCE PATEL AGENCY,ANAND,12780,REPEAT ORDER
,,644,16/02/2021,VRAJ PLASTIC,,2465,REPEAT ORDER
,,645,16/02/2021,YOGI SERVICE,,28440,REPEAT ORDER
,,646,17/02/2021,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,15537,REPEAT ORDER
,,647,17/02/2021,PARAMOUNT,ANAND,2381,REPEAT ORDER
,,648,19/02/2021,DARSHI MARKETING,BARODA,23306,REPEAT ORDER
,,649,19/02/2021,DARSHI MARKETING,BARODA,7251,REPEAT ORDER
,,650,19/02/2021,DARSHI MARKETING,BARODA,3626.5,REPEAT ORDER
,,651,19/02/2021,DARSHI MARKETING,BARODA,3626.5,REPEAT ORDER
,,652,19/02/2021,PROQMANAGE ASSOCIATES,ANAND,12000,REPEAT ORDER
,,653,23/02/2021,FUJI FILM INDIA PVT LTD,AHMEDABAD,77508,REPEAT ORDER- MAR-2021
,,654,26/02/2021,WHITE HOUSE,,2160.48,REPEAT ORDER
,,655,26/02/2021,RINA MEDICAL STORES,,2829.82,REPEAT ORDER - MAR 2021
,,656,26/02/2021,SARAL HYGIENE PRODUCT PRIVATE LIMITED,ANAND,8064,REPEAT ORDER
,,657,26/02/2021,KRISHNA PLASTIC,ANAND,11044,REPEAT ORDER
,,658,26/02/2021,SHREE GANESH ENTERPRISE,SURAT,14560,REPEAT ORDER
,,659,26/02/2021,SHREE GANESH ENTERPRISE,SURAT,8400,REPEAT ORDER
,,660,27/02/2021,AUM CORPORATION,SURAT,12007,REPEAT ORDER
,,661,27/02/2021,MEDRUBB INDUSTRIES,COLKATTA,14974,ADVANCE PAYMENT- Rs.100 PACKING + Rs.570 FREIGHT
,,662,01/03/2021,VRAJ PLASTIC,,4190,REPEAT ORDER
,,663,01/03/2021,HARIHAR BOOK DEPO,ANAND,1245,REPEAT ORDER
,,664,01/03/2021,WHITE HOUSE,,3222.48,REPEAT ORDER
,,665,01/03/2021,BHAVNA CLEANING,ANAND,3320,REPEAT ORDER
,,666,01/03/2021,ADCARE,MODASA,1344,REPEAT ORDER
,,667,01/03/2021,PARAMOUNT,ANAND,1814,REPEAT ORDER
,,668,01/03/2021,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,4547.1,REPEAT ORDER
,,669,01/03/2021,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,1683.6,REPEAT ORDER
,,670,02/03/2021,OM AGENCY,ANAND,879.76,REPEAT ORDER
,,671,03/03/2021,GALAXY SURGICAL,ANAND,8288,REPEAT ORDER
,,672,03/03/2021,INDUS,ANAND,3494,REPEAT ORDER
,,673,03/03/2021,MAA ENTERPRISE,ANAND,1710,NEW SUPPLIER OR WATER BOTTLE
,,674,04/03/2021,TECHNO HOUSE,Godhra,40139,AS PER MAIL REF.BY IT-REPEAT ORDER
,,675,06/03/2021,Inside Solution,Anand,10780,FOR APPLE i MAC SUPPORTED HARD DISK-AS PER QUOTATION BY NIRPEX-INSIDE
,,676,06/03/2021,CARESTREAM,,449987,REPEAT ORDER
,,677,08/03/2021,GUNJAN SALES,Anand,15104,As per Quotation dtd.06.03.2021
,,678,08/03/2021,DARSHI MARKETING,BARODA,4710,AS PER QUOTATION DTD.08.03.2021-300 FRIEGHT URGENT BASIS
,,679,09/03/2021,YOGI SERVICE,,12430,REPEAT ORDER
,,680,09/03/2021,CARESTREAM,,15101.96,REPEAT ORDER
,,681,10/03/2021,ANGAD Personalized GIFT Shop,VADODARA,25000,FOR CME DOCTORS GIFT-BY EKTA MAM
,,682,10/03/2021,G V SALES & SERVICE,BARODA,189294,REPEAT ORDER
,,683,10/03/2021,SHREE GANESH ENTERPRISE,SURAT,66150,REPEAT ORDER
,,684,10/03/2021,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,32252.6,REPEAT ORDER
,,685,10/03/2021,YOGI SERVICE,,3360,REPEAT ORDER-ORG. REQUIRED FOR REPORTING AREA+HETAL MAM HOME
,,686,11/03/2021,ARVIND GOHIL,ANAND,1820,
,,687,12/03/2021,ARVIND GOHIL,ANAND,1700,FOR SHASWAT & UMRETH
,,688,13/03/2021,Inside Solution,Anand,2000,TAKEN BY BHAVESH BHAI-IT
,,689,13/03/2021,PAULSON REFRIERATION,ANAND,63000,FOR SHASWAT-100 FEET ROAD
,,690,15/03/2021,FREELANCE PATEL AGENCY,ANAND,2100,REPEAT ORDER
,,691,17/03/2021,HN MEDIPACK PRODUCTS PVT LTD.,AHMEDABAD,10352,"AS PER SAMPLE PURCHASE-PERFORMA INVOICE, ADVANCE PAYMENT"
,,692,17/03/2021,Inside Solution,Anand,13876,REPEAT ORDER
,,693,17/03/2021,SAG POWER ELECTRONICS Pvt Ltd,Vadodara,32958,FOR SHASWAT HOSPITAL-AS PER QUOTATION
,,694,17/03/2021,MERLIN POWER SOLUTION,,11092,FOR PETLAD
,,695,18/03/2021,GALAXY SURGICAL,ANAND,3150,REPEAT ORDER- 95 FOR STAFF USED
,,696,20/03/2021,OM MEDICAL STORES,ANAND,4500,FOR DOCTORS USED
,,697,20/03/2021,OM MEDICAL STORES,ANAND,25200,FOR DOCTORS USED-WHITE
,,698,20/03/2021,DARSHI MARKETING,BARODA,6796,REPEAT ORDER
,,699,20/03/2021,DARSHI MARKETING,BARODA,101598,REPEAT ORDER-BOTH SIDE PRINTING-OLD RATE-5.31
,,700,20/03/2021,KRISHNA PLASTIC,ANAND,15340,REPEAT ORDER - FOR HRCT PATIENT BED SHEET
,,701,20/03/2021,KHODIYAR CORPORATION CO.,Anand,1750,REPEAT ORDER
,,702,20/03/2021,DARSHI MARKETING,BARODA,1594,NEW PRIMARY ORDER-SHASWAT-100 FT RD
,,703,20/03/2021,DARSHI MARKETING,BARODA,1594,NEW PRIMARY ORDER-UMRETH
,,704,20/03/2021,DARSHI MARKETING,BARODA,17110,REPEAT ORDER
,,705,20/03/2021,KHODIYAR CORPORATION CO.,Anand,1750,FEB-2021 USED COTTON WASTE PO
,,706,23/03/2021,DARSHI MARKETING,BARODA,182900,REPEAT ORDER - OLD RATE 6.30+18%
,,707,23/03/2021,DARSHI MARKETING,BARODA,58410,REORDER FOR X RAY BAGS-OLD RATE-6.76+18% (BOTH SIDE PRINTING)
,,708,25/03/2021,FUJI FILM INDIA PVT LTD,AHMEDABAD,116588,REPEAT ORDER
,,709,25/03/2021,FUJI FILM INDIA PVT LTD,AHMEDABAD,213388,REPEAT ORDER-REF. REJECT PO-708 DTD.25.03.2021
,,710,25/03/2021,AMIT CHEM TRADERS,VADODARA,37288,REPEAT ORDER
,,711,25/03/2021,ADCARE,MODASA,2688,REPEAT ORDER-WHITE AVAILABLE INSTEAD OF BLUE
,,712,26/03/2021,VRAJ PLASTIC,,4210,REPEAT ORDER
,,713,26/03/2021,RINA MEDICAL STORES,,2839,REPEAT ORDER
,,714,26/03/2021,BHAVNA CLEANING,ANAND,4900,REPEAT ORDER
,,715,30/03/2021,Inside Solution,Anand,41844,as per quotation for new HP printer-reporting room
,,716,30/03/2021,CARESTREAM,,449987,REPEAT ORDER
,,717,31/03/2021,GALAXY SURGICAL,ANAND,28985.7,REPEAT ORDER-APR-2021
,,718,31/03/2021,PARAMOUNT,ANAND,4848,REPEAT ORDER-APR-2021
,,719,31/03/2021,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,9089.4,REPEAT ORDER-APR-2021
,,720,31/03/2021,SANKET ENTERPRISE,ANAND,36000,FOR ANAND-HRCT-GROUND FLOOR
,,721,31/03/2021,SANKET ENTERPRISE,ANAND,18000,FOR DAKOR
,,722,01/04/2021,ARVIND GOHIL,ANAND,3500,REPEAT ORDER
,,723,02/04/2021,HARIHAR BOOK DEPO,ANAND,2855,APR-2021
,,724,03/04/2021,ENERGY PRINT,BARODA,7250,REPEAT ORDER
,,725,05/04/2021,PROQMANAGE ASSOCIATES,ANAND,25000,REPEAT ORDER-NEW PRICE 625/CAN
,,726,05/04/2021,Inside Solution,Anand,112766,AS PER QUOTATION-DTD.3.4.2021
,,727,06/04/2021,KRISHNA PLASTIC,ANAND,14160,PLASTIC ROLL ORDER FOR HRCT PATIENT for ANAND RANCHES
,,728,07/04/2021,Inside Solution,Anand,16522,AS PER QUOTATION MAIL BY BHAVESH BHAI-IT DEPT./INSIDE
,,729,07/04/2021,AUM CORPORATION,SURAT,4956,REPEAT ORDER
,,730,07/04/2021,INDUS,ANAND,3600,REPEAT ORDER
,,731,07/04/2021,VACHHRAJ MEDICO,ANAND,6038,AS PER LOW RATE-STOCK PURPOSE
,,732,08/04/2021,Inside Solution,Anand,1524,As per Req. by it- 2Nos for Hetal mam Home & 2Nos for Anand center
,,733,08/04/2021,HI-TECH SURGICAL SYSTEMS LLP,AHMEDABAD,2016,FOR MRI REQ.
,,734,08/04/2021,GALAXY SURGICAL,ANAND,15680,DR.GLOVES (100 PCS BOX0
,,735,09/04/2021,DARSHI MARKETING,BARODA,318600,"AS PER NEW RATE-QUOTATION, APPROVED BY HETAL MAM, REORDER LEVEL"
,,736,09/04/2021,KHODIYAR CORPORATION CO.,Anand,1838,REORDER
,,737,09/04/2021,KRISHNA PLASTIC,ANAND,46020,Repeat Order with cutting slite for hrct patient used
,,738,09/04/2021,VRAJ PLASTIC,,2750,FOR BIG DUSTBIN USED
,,739,09/04/2021,G V SALES & SERVICE,BARODA,29120,REPEAT ORDER
,,740,10/04/2021,FUJI FILM INDIA PVT LTD,AHMEDABAD,114164,repeat order - TCS 0.1% (Rs.114)
,,741,10/04/2021,MAA ENTERPRISE,ANAND,1140,REPEAT ORDER
,,742,10/04/2021,WHITE HOUSE,,2124,REPEAT ORDER
,,743,13/04/2021,Inside Solution,Anand,76228,
,,744,14/04/2021,INDUS,ANAND,3606,INVOICE DATE 08/04/2021
,,745,14/04/2021,PAULSON REFRIERATION,ANAND,74496,INSTALLED AT BORSAD
,,746,19/04/2021,HN MEDIPACK PRODUCTS PVT LTD.,AHMEDABAD,12499,ADVANCE PAYMENT- 320 FRIEGHT EXTRA
,,747,19/04/2021,G V SALES & SERVICE,BARODA,154350,REPEAT ORDER
,,748,19/04/2021,CARESTREAM,,749981,REPEAT ORDER
,,749,19/04/2021,SGE MEDTECH,SURAT,66150,REPEAT ORDER - SHREE GANESH ENTERPRISE
,,750,20/04/2021,G V SALES & SERVICE,BARODA,14560,REPEAT ORDER
,,751,20/04/2021,SGE MEDTECH,SURAT,8400,REPEAT ORDER
,,752,20/04/2021,Inside Solution,Anand,24898,AS PER QUOTATION EMAIL-DTD.19.04.2021
,,753,21/04/2021,ADCARE,MODASA,1619,BLUE BED SHEET FOR MRI
,,754,21/04/2021,DARSHI MARKETING,BARODA,28320,REPEAT ORDER-ANAND IMPORTED LETTERHEAD
,,755,21/04/2021,SHREE GANESH ENTERPRISE,SURAT,11942,AS PER QUOTATION-FOR PETLAD
,,756,22/04/2021,FUJI FILM INDIA PVT LTD,AHMEDABAD,206516,
,,757,24/04/2021,DARSHI MARKETING,BARODA,3470,FOR BORSAD
,,758,24/04/2021,AMIT PAPER MART,,4928,
,,759,26/04/2021,DARSHI MARKETING,BARODA,10326,REPEAT ORDER
,,760,26/04/2021,DARSHI MARKETING,BARODA,1298,REPEAT ORDER
,,761,26/04/2021,SHREE GANESH ENTERPRISE,SURAT,8400,REF REJECT PO 751-DTD.20.04.2021-SUPPLIER NAME MISTAKE
,,762,26/04/2021,GUNJAN SALES,Anand,766,TAKING BY BHAVESH BHAI-IT DEPT.
,,763,26/04/2021,Inside Solution,Anand,15983,REPEAT ORDER
,,764,26/04/2021,GUNJAN SALES,Anand,1950.5,USED IN DAKOR RECEPTION BY BHAVESH THAKER-IT DEPT.
,,765,26/04/2021,GUNJAN SALES,Anand,3000.5,USED IN UMRETH P2P- BY BHAVESH THAKER-IT DEPT.
,,766,27/04/2021,ARVIND GOHIL,ANAND,3750,REPEAT ORDER
,,767,27/04/2021,VINAYAK POLYPACK,AHMEDABAD,5575,REPEAT ORDER- BIO MEDICAL WASTE BAGS
,,768,27/04/2021,VRAJ PLASTIC,,3640,REPEAT ORDER
,,769,27/04/2021,PARAMOUNT,ANAND,2530,REPEAT ORDER
,,770,27/04/2021,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,4120.2,REPEAT ORDER
,,771,27/04/2021,HARIHAR BOOK DEPO,ANAND,1020,MAY-2021
,,772,28/04/2021,GALAXY SURGICAL,ANAND,10976,GLOVES FOR STAFF USED
,,773,29/04/2021,MERLIN POWER SOLUTION,,170880,AS PER QUOTATION DTD.29.04.2021/ AGAINST BUYBACK-30(1050 RS)
,,774,29/04/2021,SAG POWER ELECTRONICS Pvt Ltd,Vadodara,119040,AS PER QUOTATION DTD.29.04.2021/ AGAINST BUYBACK-30(550 RS)
,,775,30/04/2021,WHITE HOUSE,,2160,REPEAT ORDER
,,776,30/04/2021,RUTVI SYSTEM,ANAND,3174,MATERIAL TAKEN BY BHAVESH THAKER-IT (SECURITY & RECEPTION ANAND)
,,777,30/04/2021,ENERGY PRINT,BARODA,22800,REPEAT ORDER
,,778,30/04/2021,ENERGY PRINT,BARODA,22000,REPEAT ORDER
,,779,05/05/2021,Inside Solution,Anand,41844,repeat order
,,780,05/05/2021,Inside Solution,Anand,21149,repeat order
,,781,05/05/2021,ARVIND GOHIL,ANAND,3500,REPEAT ORDER
,,782,05/05/2021,PROQMANAGE ASSOCIATES,ANAND,24000,REPEAT ORDER
,,783,06/05/2021,CARESTREAM,,749981,REPEAT ORDER
,,784,06/05/2021,ENERGY PRINT,BARODA,29925,2100 ANAND + 1500 DAHOD + 1500 GODHRA = 5100 PAPER BAGS
,,785,06/05/2021,VIPUL TRADERS,ANAND,8850,NEW SUPPLIER (OLD RATE 275+18% TAX)
,,786,06/05/2021,DARSHI MARKETING,BARODA,481440,"NEW 600 GAUGE BAGS, NEW DESIGN MULTI COMMON"
,,787,10/05/2021,JALARAM PACKAGING,ANAND,7213.5,"Emergency Non wooven bags-14*17 size, by cheque"
,,788,10/05/2021,GALAXY SURGICAL,ANAND,2164,REPEAT ORDER
,,789,10/05/2021,Inside Solution,Anand,6490,FOR PETLAD VPN
,,790,10/05/2021,DARSHI MARKETING,BARODA,7251,NEW CT SCAN ADD REF.BOOKS
,,791,10/05/2021,ADCARE,MODASA,1669,REPEAT ORDER
,,792,11/05/2021,FUJI FILM INDIA PVT LTD,AHMEDABAD,49056,REPEAT ORDER
,,793,11/05/2021,NEW GAYATRI ENTERPRISE,,472.32,CASH PURCHASE
,,794,11/05/2021,OM MEDICAL STORES,ANAND,5700,WITHOUT PRINTING FACE MASK TAKEN
,,795,11/05/2021,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,24809,REPEAT ORDER
,,796,11/05/2021,INDUS,ANAND,3696,REPEAT ORDER
,,797,12/05/2021,SIDDHI TRADERS,ANAND,22500,FOR ANAND
,,798,13/05/2021,VRAJ PLASTIC,,3840,MAY-2021
,,799,13/05/2021,Inside Solution,Anand,1362,for Anand by Bhavesh/IT Dept. requirement
,,800,13/05/2021,G V SALES & SERVICE,BARODA,29120,REPEAT ORDER
,,801,14/05/2021,HN MEDIPACK PRODUCTS PVT LTD.,AHMEDABAD,15000,ADVANCE PAYMENT + FREIGHT EXTRA
,,802,14/05/2021,BHAVNA CLEANING,ANAND,5180,MAY-2021 STOCK
,,803,14/05/2021,ARVIND GOHIL,ANAND,2100,
,,804,14/05/2021,Inside Solution,Anand,550,REQ. FOR HETAL MAM CABIN-BY BHAVESH BHAI-IT
,,805,14/05/2021,DARSHI MARKETING,BARODA,8496,Repeat order 
,,806,17/05/2021,KRISHNA PLASTIC,ANAND,30680,FOR HRCT BED SHEET WITH CUTTING SHEET
,,807,17/05/2021,OM AGENCY,ANAND,1800,CT PATIENT 1 LTR
,,808,19/05/2021,GALAXY SURGICAL,ANAND,6300,FOR STAFF USED
,,809,21/05/2021,HEER ELECTRONICS & ELECTRICALS,NADIAD,36500,FOR HETAL MAM HOME-HIMALAYA NEW AC
,,810,21/05/2021,PHONE WALE,DAHOD,6199,FOR DAKOR (UMRETH) BRANCH
,,811,22/05/2021,ENERGY PRINT,BARODA,4200,PRIMARY REQUIREMENT
,,812,22/05/2021,DARSHI MARKETING,BARODA,2478,PRIMARY REQUIREMENT
,,813,24/05/2021,AKSHIT PHARMA AND SURGICALS,ANAND,1933,REPEAT ORDER
,,814,25/05/2021,VRAJ PLASTIC,,4100,JUN-2021
,,815,25/05/2021,HARIHAR BOOK DEPO,ANAND,1590,JUN-2021
,,816,26/05/2021,GALAXY SURGICAL,ANAND,25629,JUN-2021
,,817,27/05/2021,G V SALES & SERVICE,BARODA,154350,REPEAT ORDER
,,818,27/05/2021,SGE MEDTECH,SURAT,110250,REPEAT ORDER
,,819,29/05/2021,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,19005,FOR MRI CARDIAC
,,820,29/05/2021,ENERGY PRINT,BARODA,33600,REPEAT PO COMMON L-H A/4 SIZE
,,821,29/05/2021,BHAVNA CLEANING,ANAND,4520,REPEAT ORDER
,,822,29/05/2021,Inside Solution,Anand,19180,REPEAT ORDER
,,823,02/06/2021,PARAMOUNT,ANAND,6747,REPEAT ORDER
,,824,02/06/2021,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,1977.2,REPEAT ORDER
,,825,02/06/2021,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,1683.6,REPEAT ORDER
,,826,02/06/2021,Inside Solution,Anand,910,TAKEN BY BHAVESH BHAI-IT DEPT.-ANAND X RAY RECEPTION USED
,,827,03/06/2021,ADCARE,MODASA,3236,REPEAT ORDER
,,828,03/06/2021,GALAXY SURGICAL,ANAND,672,REPEAT ORDER
,,829,05/06/2021,KHODIYAR CORPORATION CO.,Anand,1838,REPEAT ORDER
,,830,05/06/2021,FUJI FILM INDIA PVT LTD,AHMEDABAD,64994,repeat order
,,831,07/06/2021,WHITE HOUSE,,1770,REPEAT ORDER
,,832,07/06/2021,DARSHI MARKETING,BARODA,35872,REPEAT ORDER 1600 QTY (OLD RATE 19.75+TAX)
,,833,07/06/2021,DARSHI MARKETING,BARODA,7251,REPEAT ORDER
,,834,07/06/2021,G V SALES & SERVICE,BARODA,3528,NEW REQUIREMENT FOR BORSAD BRANCH
,,835,08/06/2021,ENERGY PRINT,BARODA,4300,REPEAT ORDER
,,836,09/06/2021,MAA ENTERPRISE,ANAND,1710,REPEAT ORDER
,,837,14/06/2021,G V SALES & SERVICE,BARODA,58240,REPEAT ORDER
,,838,14/06/2021,VRAJ PLASTIC,,2800,REPEAT ORDER
,,839,15/06/2021,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,10291.27,FOR DAKOR BRANCH REQ.
,,840,15/06/2021,BHAVNA CLEANING,ANAND,6000,FOR ALL NEW REQUIRED-RED-YELLOW-BLUE & GENERAL
,,841,15/06/2021,RINA MEDICAL STORES,,5175.2,JUN-JUL 2021 USED
,,842,15/06/2021,Inside Solution,Anand,13881,REPEAT ORDER FOR REPORTING ROOM
,,843,15/06/2021,GALAXY SURGICAL,ANAND,6264,
,,844,15/06/2021,DARSHI MARKETING,BARODA,14160,REPEAT ORDER-OLD RATE FOR 9000 QTY-1.02+18% TAX
,,845,16/06/2021,NEW GAYATRI ENTERPRISE,,472.32,CASH PURCHASE-USG REQ.
,,846,16/06/2021,DARSHI MARKETING,BARODA,38646,REPEAT ORDER With COMMON BAGS
,,847,17/06/2021,HN MEDIPACK PRODUCTS PVT LTD.,AHMEDABAD,15000,REPEAT ORDER
,,848,17/06/2021,ARVIND GOHIL,ANAND,1250,FOR UMRETH
,,849,17/06/2021,AMIT CHEM TRADERS,VADODARA,37288,REPEAT ORDER
,,850,17/06/2021,ARVIND GOHIL,ANAND,2500,REPEAT ORDER
,,851,19/06/2021,Inside Solution,Anand,26022,Reorder Level
,,852,25/06/2021,DARSHI MARKETING,BARODA,3626.5,REPEAT ORDER
,,853,26/06/2021,G V SALES & SERVICE,BARODA,154350,repeat order
,,854,28/06/2021,CARESTREAM,,465088.96,REPEAT ORDER
,,855,28/06/2021,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,9924,REPEAT ORDER
,,856,30/06/2021,MEDRUBB INDUSTRIES,COLKATTA,10080,"REORDER LEVEL (including Frieght, Packing)"
,,857,30/06/2021,GUNJAN SALES,Anand,4248,AS PER LAST QUOTATION-FOR BORSAD & DAKOR
,,858,02/07/2021,MAA ENTERPRISE,ANAND,600,REORDER LEVEL-FOR DOCTOR USED
,,859,02/07/2021,Inside Solution,Anand,2943,MATERIAL ALREADY RECEIVED
,,860,02/07/2021,Inside Solution,Anand,4130,MATERIAL ALREADY RECEIVED
,,861,02/07/2021,RINA MEDICAL STORES,,449,REORDER
,,862,05/07/2021,FUJI FILM INDIA PVT LTD,AHMEDABAD,99420,reorder level
,,863,05/07/2021,SGE MEDTECH,SURAT,110250,REORDER LEVEL
,,864,05/07/2021,GALAXY SURGICAL,ANAND,14097.5,REORDER LEVEL
,,865,05/07/2021,PARAMOUNT,ANAND,4663,REORDER JUL-21
,,866,05/07/2021,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,3336.4,REORDER LEVEL
,,867,05/07/2021,ADCARE,MODASA,3236,REORDER LEVEL
,,868,05/07/2021,DARSHI MARKETING,BARODA,28320,REORDER LEVEL
,,869,05/07/2021,INDUS,ANAND,3600,REORDER LEVEL
,,870,05/07/2021,Inside Solution,Anand,15983,REORDER LEVEL
,,871,05/07/2021,VRAJ PLASTIC,,3828.8,reorder level
,,872,07/07/2021,BHAVNA CLEANING,ANAND,7145,REORDER-JUL-2021
,,873,07/07/2021,WHITE HOUSE,,3576.48,REORDER-JUL-2021
,,874,08/07/2021,YOGI SERVICE,,3955,REORDER LEVEL
,,875,10/07/2021,GALAXY SURGICAL,ANAND,4830,JUL-2021 
,,876,10/07/2021,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,1835,For CT dept. & 1 for Extra stock-(warranty-6 month)
,,877,12/07/2021,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,38010,REORDER LEVEL-JUL-2021
,,878,14/07/2021,NEW GAYATRI ENTERPRISE,,1490,240 pkt Dr.Dhaval/4D & 144 pkt store stock
,,879,14/07/2021,KHODIYAR CORPORATION CO.,Anand,1838,REORDER JUL-2021
,,880,14/07/2021,GUNJAN SALES,Anand,2242,Used in Server room for wi-fi/ by Bhavesh-IT
,,881,16/07/2021,OM AGENCY,ANAND,1800,reorder jul-2021
,,882,19/07/2021,G V SALES & SERVICE,BARODA,58240,REORDER LEVEL
,,883,19/07/2021,HI-TECH SURGICAL SYSTEMS LLP,AHMEDABAD,2016,REORDER FOR MRI REQ./CHEST LEAD
,,884,19/07/2021,AMIT CHEM TRADERS,VADODARA,37288,REORDER-FOR USG
,,885,19/07/2021,HARIHAR BOOK DEPO,ANAND,2740,REORDER STATIONARY
,,886,20/07/2021,Inside Solution,Anand,13881,Reorder level- used for Reporting
,,887,21/07/2021,MANISH MARKETING,AHMEDABAD,14040,SAMPLE ORDER-ADVANCE+FREIGHT EXTRA
,,888,22/07/2021,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,39060,Reorder MRI Cardiac used-New rate 1860+5% Gst(Reject PO-877 Dtd.12.07.2021)
,,889,23/07/2021,NAGESHWARI PRINTER,ANAND,4800,"REORDER LEVEL ""X RAY HOUSE"" & ""R.D.P.L."" PNDT REGISTER"
,,890,24/07/2021,ENERGY PRINT,BARODA,4880,FOR HR REQ.(Rate confirm by Ekta Acharya/HR)
,,891,26/07/2021,ADN SERVICES,VADODARA,504000,"Old Injector BuyBack Rs.25,000"
,,892,27/07/2021,VRAJ PLASTIC,,4720,AUG-2021
,,893,27/07/2021,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,24809,REORDER LEVEL
,,894,28/07/2021,G V SALES & SERVICE,BARODA,154350,REORDER LEVEL
,,895,28/07/2021,DARSHI MARKETING,BARODA,2791,REORDER LEVEL
,,896,29/07/2021,CARESTREAM,,449987,REORDER LEVEL
,,897,29/07/2021,GUNJAN SALES,Anand,22066,As per Quotation Dtd.14.07.2021
,,898,02/08/2021,Inside Solution,Anand,41844,reorder level
,,899,03/08/2021,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,23481.6,REORDER GLOVES BLUE FOR DOCTOR USE-POWDER WHITE FOR STAFF USED
,,900,03/08/2021,DARSHI MARKETING,BARODA,7251,REORDER Level with USG Matter
,,901,04/08/2021,RINA MEDICAL STORES,,5150,REORDER AUG-2021
,,902,04/08/2021,ARVIND GOHIL,ANAND,900,REORDER LEVEL
,,903,04/08/2021,Inside Solution,Anand,1062,"Used in IRIS Scan Doc.PC, By Bhavesh/ IT Dept."
,,904,04/08/2021,GALAXY SURGICAL,ANAND,3108,REORDER LEVEL
,,905,04/08/2021,ARVIND GOHIL,ANAND,6000,REORDER LEVEL
,,906,04/08/2021,ARVIND GOHIL,ANAND,3500,REORDER LEVEL
,,907,05/08/2021,G V SALES & SERVICE,BARODA,15008,Reorder for new Injector 190ml/ Return to supplier 13 qty 200ml by credit note
,,908,05/08/2021,ADCARE,MODASA,6474,REORDER LEVEL
,,909,07/08/2021,DARSHI MARKETING,BARODA,17004,REORDER LEVEL
,,910,07/08/2021,BHAVNA CLEANING,ANAND,5520,REORDER LEVEL
,,911,10/08/2021,SONO-X IMAGING SERVICES,AHMEDABAD,23000,As per Quotation Dtd.28.07.2021/ FOR BORSAD BRANCH
,,912,10/08/2021,GALAXY SURGICAL,ANAND,1244,Req.for BORSAD Branch/USG Taping
,,913,10/08/2021,EXCEL HEALTHCARE,AHMEDABAD,15225,Purchase by Dr.Ritesh Sir/ Gadobutrol 10ml Vial
,,914,11/08/2021,TRINITY SYSTEM (RONALD),ANAND,52440,Received by Bhavesh Bhai/It/ Used for for marketing personnel asap
,,915,16/08/2021,FUJI FILM INDIA PVT LTD,AHMEDABAD,140214,Repeat Order
,,916,16/08/2021,OM AGENCY,ANAND,1800,REORDER LEVEL
,,917,16/08/2021,Inside Solution,Anand,27494,As per quotation Dtd.12.08.2021/ for Server Anand
,,918,16/08/2021,Inside Solution,Anand,2000,Keyboard & Mouse for Home Dell PC & SMPS-Anand Reception Scanner PC
,,919,17/08/2021,KHODIYAR CORPORATION CO.,Anand,1838,REORDER LEVEL
,,920,17/08/2021,PAULSON REFRIERATION,ANAND,38000,AC FOR CT GANTRY
,,921,17/08/2021,TRINITY SYSTEM (RONALD),ANAND,13500,As per qoutation dtd.10.08.2021/ for Rekha nivas -canteen-Installation Extra
,,922,18/08/2021,MANISH MARKETING,AHMEDABAD,14040,REORDER LEVEL/ FREIGHT EXTRA
,,923,18/08/2021,Inside Solution,Anand,19180,REORDER LEVEL (CD-FRONTECH)
,,924,19/08/2021,ARVIND GOHIL,ANAND,1700,REORDER LEVEL
,,925,20/08/2021,VRAJ PLASTIC,,7280,REORDER-AUG-2021
,,926,21/08/2021,ARVIND ELECTRIC STORES,ANAND,1900,For Borsad MRI-6 Month Warranty
,,927,21/08/2021,DARSHI MARKETING,BARODA,7005.5,REORDER LEVEL
,,928,23/08/2021,GALAXY SURGICAL,ANAND,2621,FOR HSG NEW REQUIREMENT TOOLS
,,929,23/08/2021,CASH PURCHASE,,220.44,CASH PURCHASE-SHREEJI STATIONARY-For Dr.HETAL MAM CABIN USED
,,930,23/08/2021,GALAXY SURGICAL,ANAND,5208,FOR BORSAD REQ.AS PER QUOTATION SINGLE BOTTLE
,,931,23/08/2021,AKSHIT PHARMA AND SURGICALS,ANAND,2095,FOR BORSAD & ANAND USED TROLLEY-SCALE FOR MRI-4th
