,,V No,Date,Party,City,Total Amt,Remarks
,,865,06/11/2020,HARIHAR BOOK DEPO,ANAND,250,Cash purchase/ Req. by Ramesh sir for Envalope name sticking purpose
,,866,06/11/2020,Inside Solution,Anand,1300,For HP Laptop/ Received by Aman-IT
,,867,09/11/2020,CASH PURCHASE,,710,CASH PURCHASE WITH CHART PAPER FOR HR EKTA REQ. FOR DIWALI FESTIVAL
,,868,09/11/2020,IT ZONE,ANAND,550,cash purchase for IT dept by Aman
,,869,09/11/2020,HARIHAR BOOK DEPO,ANAND,45,Cash purchase/ For diwali working
,,870,09/11/2020,FUJI FILM INDIA PVT LTD,AHMEDABAD,58619,
,,871,10/11/2020,GENERATION M (MOBILE STORE),ANAND,14200,For Jatan shah/Social marketing/Dual 4G required/ For Vaibhavi-Account Dept-related works/ By Cheque
,,872,10/11/2020,SHREE GANESH ENTERPRISE,SURAT,33075,nov-2020
,,873,10/11/2020,G V SALES & SERVICE,BARODA,14560,
,,874,10/11/2020,ENERGY PRINT,BARODA,4192.5,For IRIS CT
,,875,10/11/2020,ENERGY PRINT,BARODA,4557,For IRIS CT
,,876,10/11/2020,UDGAR ENTERPRISE,ANAND,50,Cash purchase/ For Diwali/ By HR Req.
,,877,10/11/2020,PEARL COMPUTER,Anand,2150,For Borsad Branch
,,878,12/11/2020,HARIHAR BOOK DEPO,ANAND,45,CASH PURCHASE/ FOR HR REQ.DIWALI WORKS
,,879,13/11/2020,Inside Solution,Anand,6661,For Petlad Branch
,,880,13/11/2020,KHODIYAR CORPORATION CO.,Anand,1750,Repeat order/ Cash Purchase/ By PO
,,881,20/11/2020,DARSHI MARKETING,BARODA,10325,
,,882,20/11/2020,DARSHI MARKETING,BARODA,190275,6000+9000 RECEIVED TOTAL
,,883,20/11/2020,DARSHI MARKETING,BARODA,5074,
,,884,21/11/2020,TRINITY SYSTEM (RONALD),ANAND,15000,AMC FOR ALL CENTERS
,,885,21/11/2020,CASH PURCHASE,,420,CASH PURCHASE/ FOR RECEPTION REQ.
,,886,21/11/2020,ADVANCE IMAGING SOLUTIONS,Ahmedabad,47200,AMC FOR IMAC
,,887,21/11/2020,Inside Solution,Anand,5416,FOR SERVER ANAND
,,888,23/11/2020,GALAXY SURGICAL,ANAND,8960,FOR STAFF USED
,,889,23/11/2020,G V SALES & SERVICE,BARODA,29120,
,,890,23/11/2020,ARVIND GOHIL,ANAND,2100,
,,891,24/11/2020,FUJI FILM INDIA PVT LTD,AHMEDABAD,104321,
,,892,24/11/2020,DARSHI MARKETING,BARODA,1421,WITH NEW ADDRESS
,,893,24/11/2020,DARSHI MARKETING,BARODA,23258,
,,894,25/11/2020,CASH PURCHASE,,100,for diwali festival decoration used
,,895,26/11/2020,D MART AVENUE SUPERMARTS LTD,,988,CASH PURCHASE/ FOR SIR-MAM TEA COFFEE/ OFFICE USED
,,896,26/11/2020,SARAL HYGIENE PRODUCT PRIVATE LIMITED,ANAND,16128,
,,897,26/11/2020,RONAK ENTERPRISE,ANAND,8900,NEW TYRE GJ23 AN 0028-SKODA CAR
,,898,26/11/2020,GALAXY SURGICAL,ANAND,24063,
,,899,26/11/2020,DARSHI MARKETING,BARODA,7164,
,,900,27/11/2020,NEW GAYATRI ENTERPRISE,,154,CASH PURCHASE/ FOR USG
,,901,27/11/2020,CASH PURCHASE,,28,CASH PURCHASE/ FOR IT REQ.
,,902,27/11/2020,CASH PURCHASE,,200,CASH PURCHASE/ FOR JATAN SHAH REQ./ RITESH SIR PC KEYBOARD USED
,,903,27/11/2020,FREELANCE PATEL AGENCY,ANAND,19170,
,,904,27/11/2020,VRAJ PLASTIC,,3320,DEC-2020
,,905,27/11/2020,YOGI SERVICE,,19200,FOR HP LASERJET PRINTER
,,906,27/11/2020,BHAVNA CLEANING,ANAND,5150,DEC-2020
,,907,28/11/2020,OM AGENCY,ANAND,2240,DEC-2020
,,908,28/11/2020,Inside Solution,Anand,8142,RECEIVED-28.11.2020
,,909,28/11/2020,Inside Solution,Anand,3540,ISSUE TO HETAL MAM HOUSE BY AMAN/ IT DEPT-28.08.2020
,,910,28/11/2020,IT ZONE,ANAND,950,FOR IRIS CT DEPT.
,,911,28/11/2020,RAJKOT SALES AGENCY,RAJKOT,9500,FOR REKHA NIVAS
,,912,30/11/2020,HARIHAR BOOK DEPO,ANAND,1210,STATIONARY DEC-2020
,,913,01/12/2020,SHREE GANESH ENTERPRISE,SURAT,33075,
,,914,01/12/2020,CARESTREAM,,449988,
,,915,01/12/2020,SPAN SALES & SERVICES,ANAND,900,FOR OT GOWN/ GENERAL USED
,,916,01/12/2020,ALLENGERS MEDICAL SYSTEMS LTD,MOHALI,425000,FOR PETLAD BRANCH
,,917,01/12/2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,25529,
,,918,01/12/2020,PARAMOUNT,ANAND,2923,
,,919,02/12/2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,14886,
,,920,02/12/2020,ADCARE,MODASA,2688,
,,921,02/12/2020,WHITE HOUSE,,3576,
,,922,02/12/2020,CASH PURCHASE,,1020,CASH PURCHASE/ FOR PETLAD BRANCH GENERAL ITEMS
,,923,02/12/2020,CASH PURCHASE,,750,CASH PURCHASE/ FOR HETAL MAM HOUSE
,,924,02/12/2020,CASH PURCHASE,,810,CASH PURCHASE/ FOR PETLAD BRANCH GENERAL ITEMS
,,925,02/12/2020,AMIT CHEM TRADERS,VADODARA,22373,
,,926,03/12/2020,DARSHI MARKETING,BARODA,3582,PETLAD NEW ADRESS
,,927,04/12/2020,Inside Solution,Anand,480,CASH PURCHASE/ FOR HETAL MAM HOUSE
,,928,04/12/2020,BHAVNA CLEANING,ANAND,100,CASH PURCHASE/ FOR TESTING PURPOSE
,,929,04/12/2020,BHAVNA CLEANING,ANAND,400,CASH GIVEN-4.12.2020/ TAKEN FOR HETAL MAM HOUSE BY AJAY KAKA DRIVER ON CREDIT
,,930,07/12/2020,HARIHAR BOOK DEPO,ANAND,200,CASH PURCHASE / FOR GENERAL USED
,,931,07/12/2020,CASH PURCHASE,,130,CASH PURCHASE/ GENEARL USED
,,932,07/12/2020,DARSHI MARKETING,BARODA,23222,
,,933,07/12/2020,ENERGY PRINT,BARODA,18240,
,,934,07/12/2020,HARIHAR BOOK DEPO,ANAND,70,CASH PURCHASE/ GENERAL USED
,,935,08/12/2020,FREELANCE PATEL AGENCY,ANAND,625,FOR MRI & CBCT USED/ CASH PURCHASE
,,936,09/12/2020,CASH PURCHASE,,200,CASH PURCHASE/ FOR GF-39NO.
,,937,09/12/2020,SUPERNOVA SYSTEMS PVT LTD,AHMEDABAD,4595,FOR GENERATOR SET
,,938,10/12/2020,KRISHNA PLASTIC,ANAND,8982,69.200 KGS RECEIVED
,,939,10/12/2020,G V SALES & SERVICE,BARODA,154350,
,,940,11/12/2020,RUTVI SYSTEM,ANAND,5300,FOR RITESH SIR
,,941,11/12/2020,GALAXY SURGICAL,ANAND,7280,FOR DOCTORS USED
,,942,11/12/2020,PROQMANAGE ASSOCIATES,ANAND,12000,BY CHEQUE PAYMENT OF PRITIBEN SHAH (PROQMANAGE ASSOCIATES)
,,943,12/12/2020,CASH PURCHASE,,300,CASH PURCHASE/ FOR BORASD BRANCH
,,944,12/12/2020,HARIHAR BOOK DEPO,ANAND,200,CASH PURCHASE/ GENERAL
,,945,14/12/2020,TECHNO HOUSE,Godhra,135450,FOR AHAN HOME PC
,,946,15/12/2020,CASH PURCHASE,,1300,CASH PURCHASE/ FOR ALL CENTERS PATIENT USED
,,947,15/12/2020,CASH PURCHASE,,130,CASH PURCHASE/ FOR SAMPLE-USED ALL CENTRES
,,948,15/12/2020,FUJI FILM INDIA PVT LTD,AHMEDABAD,25201,TCS EXTRA CHARGES-Rs.19
,,949,15/12/2020,CASH PURCHASE,,40,CASH PURCHASE/ REPAIRED STORES CALCY-NEW CELL INSTALLED.
,,950,16/12/2020,AKSHIT PHARMA AND SURGICALS,ANAND,2936,FOR MRI & SMALL GLOVES FOR PETLAD
,,951,17/12/2020,Inside Solution,Anand,2590,FOR AHAN HOME PC
,,952,17/12/2020,D MART AVENUE SUPERMARTS LTD,,458,CASH PURCHASE/ FOR BORSAD & OTHER REQ.
,,953,18/12/2020,CASH PURCHASE,,270,CASH PURCHASE/ FOR MRI REQ./BANSARI MEDICAL (ASHTHA)
,,954,18/12/2020,Inside Solution,Anand,250,CASH PURCHASE/ FOR DR.DHAVAL 4D BASEMENT BY AMAN IT DEPT.
,,955,18/12/2020,Inside Solution,Anand,9782,FOR HR & BORSAD
,,956,18/12/2020,Inside Solution,Anand,179655,NAS STORAGE
,,957,18/12/2020,TECHNO HOUSE,Godhra,2550,FOR IT REQ./ WITH 3 YEARS WARRANTY PERIOD
,,958,19/12/2020,G V SALES & SERVICE,BARODA,29120,
,,959,19/12/2020,GALAXY SURGICAL,ANAND,13440,FOR STAFF USED
,,960,21/12/2020,SAREGAMA MOBILE,ANAND,5750,FOR BORSAD BRANCH
,,961,21/12/2020,SAREGAMA MOBILE,ANAND,5750,FOR DAKOR BRANCH
,,962,21/12/2020,SATYAM AUTO ELECTRIC & BATTERY,KHEDA,7600,BY NIRANJAN/ UPS SYSTEM DAKOR/ 6 MONTH WARRANTY
,,963,22/12/2020,ARVIND GOHIL,ANAND,3750,
,,964,22/12/2020,ARVIND GOHIL,ANAND,3750,
,,965,22/12/2020,ARVIND GOHIL,ANAND,2500,
,,966,22/12/2020,ARVIND GOHIL,ANAND,2100,
,,967,22/12/2020,ARVIND GOHIL,ANAND,2100,
,,968,22/12/2020,CASH PURCHASE,,500,FOR DOCTORS USED/ CASH PURCHASE
,,969,22/12/2020,CASH PURCHASE,,50,CASH PURCHASE/ FOR PETLAD CENTER BATHROOM USED
,,970,22/12/2020,CASH PURCHASE,,100,CASH PURCHASE/ FOR PETLAD CENTER REQ./ WITH 1 YEAR WARRANTY PERIOD-CROMPTON MAKE
,,971,22/12/2020,CASH PURCHASE,,660,CASH PURCHASE/ FOR ALL CENTER USED/ 6 LOT/12 NOS./POOJA TEXTILES-ANAND
,,972,25/12/2020,N V ENTERPRISE,Anand,1000,
,,973,25/12/2020,SANJIVANI MEDICINES,ANAND,2134,FOR TECHNICIAN STAFF
,,974,25/12/2020,Inside Solution,Anand,490,CASH PURCHASE/ FOR VAN/ URGENT BASIS
,,975,25/12/2020,KHODIYAR CORPORATION CO.,Anand,1750,CASH PURCHASE
,,976,31/12/2020,PARAMOUNT,ANAND,4256,JAN-2021
,,977,31/12/2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,19561,JAN-2021
,,978,31/12/2020,OM AGENCY,ANAND,1640,JAN-2021
,,979,31/12/2020,GALAXY SURGICAL,ANAND,14665,JAN-2021
,,980,31/12/2020,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,3024,FOR DOCTORS USED
,,981,31/12/2020,SHREE GANESH ENTERPRISE,SURAT,33075,JAN-2021
,,982,31/12/2020,CASH PURCHASE,,50,CASH PURCHASE/ FOR HR REQ.
,,983,31/12/2020,CASH PURCHASE,,90,CASH PURCHASE/ FOR CUPBOARD HANDLE
,,984,31/12/2020,CASH PURCHASE,,290,CASH PURCHASE/ FOR PETLAD REQ.-ELECTRICAL DOOR BELL
,,985,31/12/2020,AMIT PAPER MART,,8422,
,,986,31/12/2020,AMIT CHEM TRADERS,VADODARA,14915,
,,987,01/01/2021,PROQMANAGE ASSOCIATES,ANAND,12000,FOR STAFF & PATIENT USED
,,988,01/01/2021,VRAJ PLASTIC,,3265,JAN-2021
,,989,01/01/2021,HARIHAR BOOK DEPO,ANAND,1285,JAN-2021
,,990,01/01/2021,BHAVNA CLEANING,ANAND,5540,JAN-2021
,,991,01/01/2021,SARAL HYGIENE PRODUCT PRIVATE LIMITED,ANAND,16128,
,,992,01/01/2021,ANUBHARTI (MAFATLAL),ANAND,32370,SWEEPER STAFF T SHIRT
,,993,01/01/2021,ENERGY PRINT,BARODA,13440,
,,994,01/01/2021,DARSHI MARKETING,BARODA,25724,
,,995,01/01/2021,ENERGY PRINT,BARODA,9900,
,,996,02/01/2021,AKSHIT PHARMA AND SURGICALS,ANAND,4830,FOR BORSAD BRANCH
,,997,02/01/2021,SHREE GANESH ENTERPRISE,SURAT,14560,X RAY - INSTEAD OF UROGRAFIN
,,998,02/01/2021,FUJI FILM INDIA PVT LTD,AHMEDABAD,89918,JAN-2021 Rs.67.39 tcs extra
,,999,02/01/2021,ENERGY PRINT,BARODA,61065,
,,1000,04/01/2021,TECHNO HOUSE,Godhra,6104,FOR PETLAD-AOH-ANAND
,,1001,04/01/2021,Inside Solution,Anand,3107,FOR AOH-ANAND
,,1002,04/01/2021,DARSHI MARKETING,BARODA,6457,7200+8000 QTY RECEIVED OUT OF 16000 QTY PO
,,1003,04/01/2021,VRAJ PLASTIC,,500,CASH PURCHASE/ FOR RICE PACKING REQ.BY HR
,,1004,04/01/2021,IT ZONE,ANAND,4900,FOR HETAL MAM HOUSE
,,1005,05/01/2021,ENERGY PRINT,BARODA,28000,FOR DOCTORS-STAFF
,,1006,05/01/2021,DARSHI MARKETING,BARODA,113740,2900 + 12400 QTY RECEIVED
,,1007,06/01/2021,GALAXY SURGICAL,ANAND,7280,FOR DOCTORS USED ONLY
,,1008,06/01/2021,RINA MEDICAL STORES,,4822,JAN 2021
,,1009,06/01/2021,NISHANT ENTERPRISE,ANAND,1150,FOR 2ND FLOOR WATER COOLER
,,1010,06/01/2021,NEW GAYATRI ENTERPRISE,,461,CASH PURCHASE/ FOR USG
,,1011,06/01/2021,CASH PURCHASE,,250,CASH PURCHASE/ VIJAY MEDICAL STORES/ FOR BORASD
,,1012,06/01/2021,WHITE HOUSE,,2160,
,,1013,07/01/2021,CARESTREAM,,465090,
,,1014,07/01/2021,CASH PURCHASE,,400,CASH PURCHASE/ SHREEJI STATIONARY/ FOR BORSAD & ANAND BRANCH REQ.
,,1015,07/01/2021,D MART AVENUE SUPERMARTS LTD,,1704,CASH PURCHASE/ FOR OFFICE USED & STORE STOCK
,,1016,07/01/2021,CASH PURCHASE,,120,CASH PURCHASE/ SHREEJI STATIONERY FOR BORSAD till 31.03.2021
,,1017,07/01/2021,CHANDAN GENERAL STORES,,130,CASH PURCHASE/ FOR HR REQ.
,,1018,08/01/2021,VRAJ PLASTIC,,90,CASH PURCHASE/ FOR GENERAL WORKS-BOX PACKING
,,1019,08/01/2021,Inside Solution,Anand,11101,
,,1020,09/01/2021,ARVIND GOHIL,ANAND,2720,FOR KALPESH DALWADI-REQ.
,,1021,09/01/2021,ARVIND GOHIL,ANAND,500,FOR CT DEPT.
,,1022,09/01/2021,Inside Solution,Anand,15635,
,,1023,09/01/2021,JAAC TECHNO SERVICES PVT LTD,VADODARA,7846,FOR BORSAD BRANCH/ DONE UNDER BY MIHIR
,,1024,09/01/2021,CASH PURCHASE,,190,CASH PURCHASE/ PUNCH FOR ACCOUNT
,,1025,11/01/2021,ADCARE,MODASA,1344,
,,1026,11/01/2021,HI-TECH SURGICAL SYSTEMS LLP,AHMEDABAD,2016,FOR MRI REQ.
,,1027,11/01/2021,GALAXY SURGICAL,ANAND,1575,FOR PATIENT USED
,,1028,12/01/2021,CASH PURCHASE,,30,CASH PURCHASE/ FOR STORES USED
,,1029,13/01/2021,YOGI SERVICE,,19200,FOR HP PRINTER
,,1030,13/01/2021,YOGI SERVICE,,1260,FOR SAMPLING PURPOSE
,,1031,13/01/2021,NEHAL ENTERPRISE,AHMEDABAD,28000,
,,1032,18/01/2021,G V SALES & SERVICE,BARODA,183470,
,,1033,18/01/2021,CASH PURCHASE,,90,cash purchase/ for staff used /Req. by HR
,,1034,18/01/2021,GALAXY SURGICAL,ANAND,3150,FOR STAFF USED
,,1035,19/01/2021,CASH PURCHASE,,300,CASH PURCHASE/ FOR RECEPTION USED
,,1036,20/01/2021,OM AGENCY,ANAND,2240,REPEAT ORDER
,,1037,21/01/2021,CASH PURCHASE,,80,FOR CT-ARPAN REQ./ FOR EARING REMOVAL OF PATIENTS
,,1038,22/01/2021,IT ZONE,ANAND,1180,FOR IT USED
,,1039,23/01/2021,AKSHIT PHARMA AND SURGICALS,ANAND,9200,FOR ANAND USED
,,1040,23/01/2021,SHREE GANESH ENTERPRISE,SURAT,33075,
,,1041,25/01/2021,ENERGY PRINT,BARODA,45000,
,,1042,25/01/2021,DARSHI MARKETING,BARODA,15458,
,,1043,25/01/2021,CASH PURCHASE,,150,FOR REQ. OF JATAN SHAH / CASH PURCHASE
,,1044,27/01/2021,CASH PURCHASE,,130,CASH PURCHASE/ NOT AVAIL. FROM SUPPLIER/ FOR MRI REQ.
,,1045,28/01/2021,YOGI SERVICE,,6000,FOR HP COMP.BLACK REQUIRED
,,1046,28/01/2021,KHODIYAR CORPORATION CO.,Anand,1750,
,,1047,28/01/2021,GALAXY SURGICAL,ANAND,1863,FEB-2021
,,1048,29/01/2021,VRAJ PLASTIC,,550,CASH PURCHASE
,,1049,29/01/2021,NEW GAYATRI ENTERPRISE,,487,CASH PURCHASE
,,1050,01/02/2021,YOGI SERVICE,,17000,
,,1051,02/02/2021,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,1684,
,,1052,02/02/2021,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,4601,FEB-2021
,,1053,02/02/2021,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,14886,
,,1054,02/02/2021,BHAVNA CLEANING,ANAND,3340,FOR FEB-2021
,,1055,02/02/2021,GALAXY SURGICAL,ANAND,13440,FOR STAFF USED
,,1056,02/02/2021,Inside Solution,Anand,40474,FOR ANAND SERVER ROOM
,,1057,02/02/2021,FUJI FILM INDIA PVT LTD,AHMEDABAD,103584,"FEB-2021, TCS EXTRA 77.63 RS"
,,1058,03/02/2021,Inside Solution,Anand,7068,FOR SERVER ROOM
,,1059,03/02/2021,PARAMOUNT,ANAND,2380,
,,1060,03/02/2021,G V SALES & SERVICE,BARODA,29120,
,,1061,04/02/2021,AMAR TRADING COMPANY,,560,
,,1062,04/02/2021,AMIT CHEM TRADERS,VADODARA,12952,
,,1063,04/02/2021,IT ZONE,ANAND,3200,FOR HRCT G.F.TABLE WORKS
,,1064,04/02/2021,GUNJAN SALES,Anand,413,CASH PURCHASE BY BHAVESH -IT DEPT.
,,1065,04/02/2021,ADCARE,MODASA,2688,
,,1066,04/02/2021,HARIHAR BOOK DEPO,ANAND,50,CASH PURCHASE/ FOR HR REQ.
,,1067,05/02/2021,D MART AVENUE SUPERMARTS LTD,,892,CASH PURCHASE
,,1068,06/02/2021,WHITE HOUSE,,1416,
,,1069,09/02/2021,CASH PURCHASE,,1700,CASH PURCHASE - CHAUHAN BROTHERS-FOR PATIENT SHIFTING PURPOSE-URGENT BASIS
,,1070,09/02/2021,UDGAR ENTERPRISE,ANAND,35,CASH PURCHASE/ FOR USG
,,1071,09/02/2021,UDGAR ENTERPRISE,ANAND,300,CASH PURCHASE/ FOR USG / URGENT
,,1072,09/02/2021,D MART AVENUE SUPERMARTS LTD,,1085,CASH PURCHASE/ D MART
,,1073,09/02/2021,VRAJ PLASTIC,,220,CASH PURCHASE/ FOR CLEANING
,,1074,09/02/2021,RINA MEDICAL STORES,,1748,MEDICINE
,,1075,09/02/2021,GALAXY SURGICAL,ANAND,10620,FOR ANAND
,,1076,09/02/2021,AMIT CHEM TRADERS,VADODARA,22373,FOR USG
,,1077,10/02/2021,Inside Solution,Anand,6136,IT SERVER ROOM
,,1078,11/02/2021,CARESTREAM,,449988,
,,1079,11/02/2021,PARAMOUNT,ANAND,1108,
,,1080,13/02/2021,SHREE GANESH ENTERPRISE,SURAT,55124,REPEAT ORDER
,,1081,13/02/2021,G V SALES & SERVICE,BARODA,154350,
,,1082,13/02/2021,CASH PURCHASE,,300,CASH PURCHASE/ FOR RECEPTION USED
,,1083,15/02/2021,HARIHAR BOOK DEPO,ANAND,230,CASH PURCHASH
,,1084,15/02/2021,ARVIND GOHIL,ANAND,3500,
,,1085,15/02/2021,OM AGENCY,ANAND,1860,
,,1086,15/02/2021,CASH PURCHASE,,150,CASH PURCHASE/ FOR DISPATCH DEPT
,,1087,16/02/2021,IT ZONE,ANAND,11800,FOR REPORTING USG
,,1088,16/02/2021,VRAJ PLASTIC,,2465,
,,1089,17/02/2021,DARSHI MARKETING,BARODA,10832,
,,1090,17/02/2021,GALAXY SURGICAL,ANAND,8680,
,,1091,17/02/2021,G V SALES & SERVICE,BARODA,29120,
,,1092,18/02/2021,FREELANCE PATEL AGENCY,ANAND,12780,
,,1093,19/02/2021,TECHNO HOUSE,Godhra,86822,3 YEARS WARRANTY PERIOD
,,1094,19/02/2021,TECHNO HOUSE,Godhra,22398,
,,1095,19/02/2021,CASH PURCHASE,,80,CASH PURCHASE- FOR BORSAD REQ./ FOR PATIENT USED
,,1096,19/02/2021,YOGI SERVICE,,28440,FOR HP PRINTER COLOUR
,,1097,19/02/2021,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,38010,FOR CARDIAC PATIENT USED
,,1098,23/02/2021,UDGAR ENTERPRISE,ANAND,80,CASH PURCHASE- FOR MRI TEA COFFEE
,,1099,24/02/2021,CASH PURCHASE,,300,CASH PURCHASE-FOR RECEPTION USED
,,1100,24/02/2021,NEW GAYATRI ENTERPRISE,,649,CASH PURCHASE- FOR USG
,,1101,26/02/2021,SARAL HYGIENE PRODUCT PRIVATE LIMITED,ANAND,8064,"6,000 QTY RECEIVED"
,,1102,26/02/2021,KRISHNA PLASTIC,ANAND,5446,35.500 QTY RECEIVED
,,1103,26/02/2021,CASH PURCHASE,,100,CASH PURCHASE/ FOR 2ND FLOOR/ BY RAJU/VIMAL REQ.
,,1104,26/02/2021,CASH PURCHASE,,90,CASH PURCHASE- FOR MRI REQ.
,,1105,26/02/2021,HARIHAR BOOK DEPO,ANAND,25,CASH PURCHASE-FOR RECEPTION USED
,,1106,26/02/2021,KRISHNA PLASTIC,ANAND,11029,FOR HRCT PATIENT BED SHEET
,,1107,26/02/2021,SARAL HYGIENE PRODUCT PRIVATE LIMITED,ANAND,8064,
,,1108,26/02/2021,RINA MEDICAL STORES,,2830,MARCH-2021
,,1109,27/02/2021,FUJI FILM INDIA PVT LTD,AHMEDABAD,77508,TCS @ 0.075% EXTRA ON GROSS VALUE-Rs.58.13
,,1110,27/02/2021,PARAMOUNT,ANAND,2380,
,,1111,27/02/2021,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,14886,
,,1112,02/03/2021,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,1684,
,,1113,02/03/2021,PARAMOUNT,ANAND,1814,
,,1114,02/03/2021,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,4547,
,,1115,02/03/2021,HARIHAR BOOK DEPO,ANAND,1245,MAR-2021
,,1116,02/03/2021,BHAVNA CLEANING,ANAND,3320,
,,1117,02/03/2021,VRAJ PLASTIC,,4190,
,,1118,02/03/2021,WHITE HOUSE,,3222,F. REJECT PO 654-DOUBLE PO
,,1119,02/03/2021,SHREE GANESH ENTERPRISE,SURAT,8400,
,,1120,03/03/2021,OM AGENCY,ANAND,880,FOR DOCTORS MEETING
,,1121,03/03/2021,AUM CORPORATION,SURAT,12007,FOR RECEPTION USED
,,1122,03/03/2021,PROQMANAGE ASSOCIATES,ANAND,12000,GENERAL USED
,,1123,04/03/2021,GALAXY SURGICAL,ANAND,8288,MAR-2021
,,1124,04/03/2021,INDUS,ANAND,3494,
,,1125,04/03/2021,MAA ENTERPRISE,ANAND,1725,NEW SUPPLIER-RATE PER BOX-Rs.115
,,1126,05/03/2021,D MART AVENUE SUPERMARTS LTD,,1273,CASH PURCHASE-MAR 20212
,,1127,06/03/2021,CASH PURCHASE,,300,CASH PURCHASE
,,1128,08/03/2021,TECHNO HOUSE,Godhra,40139,FOR ANAND SHASWAT HOSPITAL
,,1129,09/03/2021,DARSHI MARKETING,BARODA,4710,URGENT BASIS
,,1130,09/03/2021,SHREE GANESH ENTERPRISE,SURAT,14560,
,,1131,09/03/2021,CASH PURCHASE,,187,CASH PURCHASE- GENERAL USED
,,1132,09/03/2021,CASH PURCHASE,,300,CASH PURCHASE- FOR GENERAL USED
,,1133,10/03/2021,CARESTREAM,,449988,
,,1134,10/03/2021,CASH PURCHASE,,300,CASH PURCHASE- CELL FOR K.DALWADI & PLIER FOR BORSAD
,,1135,10/03/2021,ADCARE,MODASA,1210,90 QTY RECEIVED
,,1136,11/03/2021,CASH PURCHASE,,170,CASH PURCHASE-STORES GENERAL USED
,,1137,12/03/2021,SHREE GANESH ENTERPRISE,SURAT,66150,
,,1138,12/03/2021,WHITE HOUSE,,800,CASH PURCHASE-FOR SHASWAT HOSPITAL
,,1139,13/03/2021,CASH PURCHASE,,160,CASH PURCHASE-FOR MRI PATIENT APPRON DISINFECTANT PURPOSE
,,1140,13/03/2021,GUNJAN SALES,Anand,15104,
,,1141,13/03/2021,G V SALES & SERVICE,BARODA,189294,
,,1142,13/03/2021,YOGI SERVICE,,3360,
,,1143,13/03/2021,YOGI SERVICE,,11300,13+7 RECEIVED
,,1144,13/03/2021,CASH PURCHASE,,115,CASH PURCHASE-REQ BY JATAN-FOR LIFT
,,1145,15/03/2021,FREELANCE PATEL AGENCY,ANAND,625,CASH PURCHASE-FOR MRI-FRONTECH
,,1146,15/03/2021,IMPERIAL MEDICAL  & SURGICAL AGENCY,ANAND,29649,
,,1147,15/03/2021,MEDRUBB INDUSTRIES,COLKATTA,14974,"OXYGEN SET, P&F-750"
,,1148,17/03/2021,PAULSON REFRIERATION,ANAND,63000,FOR SHSWAT-100 FT ROAD
,,1149,17/03/2021,FREELANCE PATEL AGENCY,ANAND,2100,
,,1150,17/03/2021,Inside Solution,Anand,2000,BY BHAVESH THAKKAR-IT DEPT
,,1151,17/03/2021,CASH PURCHASE,,159,CASH PURCHASE-VIJAY MEDICAL-FOR MRI-X RAY
,,1152,18/03/2021,CARESTREAM,,15102,
,,1153,18/03/2021,ENERGY PRINT,BARODA,22800,
,,1154,20/03/2021,UDGAR ENTERPRISE,ANAND,400,CASH PURCHASE-URGENT
,,1155,20/03/2021,GALAXY SURGICAL,ANAND,3150,FOR STAFF & DOCTORS USED
,,1156,20/03/2021,OM MEDICAL STORES,ANAND,4500,FOR DOCTORS USED-BLUE
,,1157,20/03/2021,OM MEDICAL STORES,ANAND,25200,
,,1158,20/03/2021,SAG POWER ELECTRONICS Pvt Ltd,Vadodara,32958,FOR SHASWAT-100 FT RD
,,1159,20/03/2021,KHODIYAR CORPORATION CO.,Anand,1750,MAR-2021
,,1160,20/03/2021,UDGAR ENTERPRISE,ANAND,800,CASH PURCHASE-FOR USG URGENT BASIS
,,1161,22/03/2021,ARVIND GOHIL,ANAND,1700,FOR SHSAWAT-100 FT & UMRETH
,,1162,22/03/2021,KHODIYAR CORPORATION CO.,Anand,1750,FEB-2021 USED
,,1163,22/03/2021,CASH PURCHASE,,162.24,CASH PURCHASE
,,1164,22/03/2021,HN MEDIPACK PRODUCTS PVT LTD.,AHMEDABAD,10352,FOR USG-320 FRIEGHT CHARGES EXTRA
,,1165,23/03/2021,Inside Solution,Anand,13876,
,,1166,24/03/2021,CASH PURCHASE,,499,CASH PURCHASE-FOR IT DEPT.-GENERAL
,,1167,24/03/2021,CASH PURCHASE,,130,CASH PURCHASE-MAYUR SALES-GENEARL
,,1168,24/03/2021,HARIHAR BOOK DEPO,ANAND,800,CASH PURCHASE-SALARY REGISTER 200 PAGE-FOR HR
,,1169,26/03/2021,ARVIND GOHIL,ANAND,1820,
,,1170,26/03/2021,AMIT CHEM TRADERS,VADODARA,37288,30 RS FRIEGHT EXTRA LABOUR
,,1171,27/03/2021,VRAJ PLASTIC,,4210,APR-2021
